scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0089,voronoi,cycle,50.0,20.0,30.0,1,0,planning_failed,False,1,,3240.0000000000023,705.4306000063661,4.592939404628553,26063.184692328923,25804.15188892084,25124.17675352827,421.368315325315,2233.102151716307,
random-s0-0089,voronoi,cycle,50.0,100.0,30.0,1,0,planning_failed,False,1,,3320.000000000002,122.36080000002404,27.132872619330293,26063.184692328923,25274.20640432341,25124.17675352827,421.35120751826594,2233.102151716307,
random-s0-0089,voronoi,cycle,150.0,20.0,30.0,1,0,planning_failed,False,1,,3720.0000000000023,1040.8649000019068,3.573950855671267,26810.71400115628,27215.505059499374,25124.17675352827,421.1830289382309,2233.102151716307,
random-s0-0089,voronoi,cycle,150.0,100.0,30.0,1,0,planning_failed,False,1,,4020.000000000002,333.6711000010837,12.047791972355247,26810.71400115628,26619.705115873385,25124.17675352827,421.29559279907335,2233.102151716307,
random-s0-0089,voronoi,event,0.0,20.0,30.0,1,0,planning_failed,False,1,,4959.999999999982,185.3224000078626,26.764168820334437,26063.184692328923,26731.276817673115,25124.17675352827,421.1306399684588,2233.102151716307,
random-s0-0089,voronoi,event,0.0,100.0,30.0,1,0,planning_failed,False,1,,3820.000000000002,70.83120000606868,53.93103603599419,26063.184692328923,25432.21324083275,25124.17675352827,421.2750394932697,2233.102151716307,
random-s0-0089,voronoi,event,50.0,20.0,30.0,1,0,planning_failed,False,1,,5179.999999999977,366.0659000015585,14.150457608801924,26063.184692328923,27140.100892372637,25124.17675352827,421.2794238640861,2233.102151716307,
random-s0-0089,voronoi,event,50.0,100.0,30.0,1,0,planning_failed,False,1,,4179.999999999998,122.28189999586904,34.18330922353356,26063.184692328923,26584.239309426703,25124.17675352827,421.02947755913743,2233.102151716307,
random-s0-0089,voronoi,event,150.0,20.0,30.0,1,0,planning_failed,False,1,,4060.000000000002,166.5241000009701,24.380855383553197,26810.71400115628,25201.43118571147,25124.17675352827,421.0067814727638,2233.102151716307,
random-s0-0089,voronoi,event,150.0,100.0,30.0,1,0,planning_failed,False,1,,4619.999999999988,62.03499999537598,74.47408721438474,26810.71400115628,26630.055207211008,25124.17675352827,420.73130429105214,2233.102151716307,
random-s0-0089,prm,once,0.0,20.0,30.0,1,0,completed,True,0,5459.999999999972,5459.999999999972,45.5084999994142,119.977586606244,27364.43711611337,26757.31987911646,25124.17675352827,58.92120344026211,59.96262316573914,
random-s0-0089,prm,cycle,0.0,20.0,30.0,1,0,completed,True,0,3140.0000000000023,3140.0000000000023,1375.3466999914965,2.28306070027246,27364.43711611337,25821.23217502124,25124.17675352827,59.19561204441735,59.96262316573914,
random-s0-0089,prm,cycle,0.0,100.0,30.0,1,0,completed,True,0,3140.0000000000014,3140.0000000000014,280.3159000031883,11.20164785502459,27364.43711611337,25954.68803592707,25124.17675352827,59.296955165908734,59.96262316573914,
random-s0-0089,prm,cycle,50.0,20.0,30.0,1,0,completed,True,0,3520.0000000000027,3520.0000000000027,1633.6358999978984,2.154702893101536,27364.43711611337,26344.27778569844,25124.17675352827,59.225642850152894,59.96262316573914,
random-s0-0089,prm,cycle,50.0,100.0,30.0,1,0,completed,True,0,4139.999999999999,4139.999999999999,539.973100007046,7.667048599172768,27364.43711611337,27677.012766885346,25124.17675352827,59.08946731262163,59.96262316573914,
random-s0-0089,prm,cycle,150.0,20.0,30.0,1,0,completed,True,0,3700.0000000000023,3700.0000000000023,2147.909999999684,1.7226047646319205,28339.71849619565,30076.378093075426,25124.17675352827,59.04833163143004,59.96262316573914,
random-s0-0089,prm,cycle,150.0,100.0,30.0,1,0,completed,True,0,3840.000000000002,3840.000000000002,429.73580000398215,8.935722832411027,28339.71849619565,28172.15474676352,25124.17675352827,59.21007535340971,59.96262316573914,
random-s0-0089,prm,event,0.0,20.0,30.0,1,0,completed,True,0,3220.0000000000023,3220.0000000000023,355.8511000010185,9.048728527158652,27364.43711611337,26370.960207013824,25124.17675352827,59.16586737363977,59.96262316573914,
random-s0-0089,prm,event,0.0,100.0,30.0,1,0,completed,True,0,3140.0000000000014,3140.0000000000014,125.38879999192432,25.04210902570432,27364.43711611337,26110.092989472047,25124.17675352827,59.40483449205414,59.96262316573914,
random-s0-0089,prm,event,50.0,20.0,30.0,1,0,completed,True,0,3260.0000000000023,3260.0000000000023,229.9401000054786,14.17760538471684,27364.43711611337,27867.65666706872,25124.17675352827,59.43433126935821,59.96262316573914,
random-s0-0089,prm,event,50.0,100.0,30.0,1,0,completed,True,0,4599.999999999989,4599.999999999989,247.17320001218468,18.61043187438293,27364.43711611337,31913.40676436288,25124.17675352827,59.08551382262919,59.96262316573914,
random-s0-0089,prm,event,150.0,20.0,30.0,1,0,completed,True,0,5419.999999999973,5419.999999999973,267.7592999971239,20.24206068681159,28339.71849619565,30910.72985390871,25124.17675352827,59.340621807602304,59.96262316573914,
random-s0-0089,prm,event,150.0,100.0,30.0,1,0,completed,True,0,3720.000000000002,3720.000000000002,102.9121000028681,36.14735293416739,28339.71849619565,28147.291979084734,25124.17675352827,59.14556880720568,59.96262316573914,
random-s0-0089,visibility,once,0.0,20.0,30.0,1,0,completed,True,0,3940.000000000003,3940.000000000003,43.74930000631139,90.05858378149156,25127.550233374983,24771.810056479146,25124.17675352827,59.191657243764034,59.96262316573914,
random-s0-0089,visibility,cycle,0.0,20.0,30.0,1,0,completed,True,0,4239.999999999997,4239.999999999997,3314.685399993323,1.2791560852226092,25127.550233374983,24857.89217773958,25124.17675352827,59.23776443371144,59.9821744053983,
random-s0-0089,visibility,cycle,0.0,100.0,30.0,1,0,completed,True,0,4100.0,4100.0,658.0734000017401,6.230308047687627,25127.550233374983,24876.826106678305,25124.17675352827,59.10239956790221,59.96262316573914,
random-s0-0089,visibility,cycle,50.0,20.0,30.0,1,0,completed,True,0,4179.999999999999,4179.999999999999,3221.3154999917606,1.2976065213142551,25127.550233374983,24916.846065134803,25124.17675352827,58.793519163699614,59.96262316573914,
random-s0-0089,visibility,cycle,50.0,100.0,30.0,1,0,completed,True,0,4159.999999999998,4159.999999999998,680.541900001117,6.112775715930452,25127.550233374983,24927.62734925712,25124.17675352827,59.400196717986745,59.96262316573914,
random-s0-0089,visibility,cycle,150.0,20.0,30.0,1,0,completed,True,0,6239.9999999999545,6239.9999999999545,6154.02709999762,1.0139701854745435,25151.527240711715,25989.6465716534,25124.17675352827,58.89864196803032,59.965308920748,
random-s0-0089,visibility,cycle,150.0,100.0,30.0,1,0,completed,True,0,4339.9999999999945,4339.9999999999945,600.0853000005009,7.232305140613129,25151.527240711715,25215.93297502157,25124.17675352827,59.47805100399797,59.99486082659308,
random-s0-0089,visibility,event,0.0,20.0,30.0,1,0,completed,True,0,6099.999999999958,6099.999999999958,714.0756000007968,8.542512865574949,25127.550233374983,24905.47173871673,25124.17675352827,59.2882346791495,59.96262316573914,
random-s0-0089,visibility,event,0.0,100.0,30.0,1,0,completed,True,0,4100.0,4100.0,119.84680000750814,34.21034186764389,25127.550233374983,24843.093227486977,25124.17675352827,58.987380112981405,59.96262316573914,
random-s0-0089,visibility,event,50.0,20.0,30.0,1,0,completed,True,0,4759.999999999986,4759.999999999986,841.4955000043847,5.656595905712133,25127.550233374983,25055.04706836551,25124.17675352827,59.26834120320903,59.96262316573914,
random-s0-0089,visibility,event,50.0,100.0,30.0,1,0,completed,True,0,5879.999999999962,5879.999999999962,221.0497000050964,26.600352770731632,25127.550233374983,25083.870687662537,25124.17675352827,59.401029465589296,59.96262316573914,
random-s0-0089,visibility,event,150.0,20.0,30.0,1,0,completed,True,0,5079.99999999998,5079.99999999998,594.2807999963406,8.548147609734759,25151.527240711715,25454.399486361424,25124.17675352827,59.11514083844489,59.96262316573914,
random-s0-0089,visibility,event,150.0,100.0,30.0,1,0,completed,True,0,5119.999999999978,5119.999999999978,169.72099999838974,30.167156686848152,25151.527240711715,25179.233660090205,25124.17675352827,59.06640682153752,59.96262316573914,
random-s0-0090,voronoi,once,0.0,20.0,30.0,1,0,completed,True,0,2640.000000000002,2640.000000000002,10.934300007647836,241.44206745319707,19324.682223075364,18972.742476720858,19324.682223075364,58.65662439241832,59.21300113463384,
random-s0-0090,voronoi,cycle,0.0,20.0,30.0,1,0,completed,True,0,2780.000000000002,2780.000000000002,195.89609999093227,14.19119625213919,19324.682223075364,19306.594946156125,19324.682223075364,58.630634261078654,59.66040801029208,
random-s0-0090,voronoi,cycle,0.0,100.0,30.0,1,0,completed,True,0,2760.000000000001,2760.000000000001,45.831199997337535,60.2209848347924,19324.682223075364,19281.86751032564,19324.682223075364,58.46801099196804,59.23469214761915,
random-s0-0090,voronoi,cycle,50.0,20.0,30.0,1,0,completed,True,0,2900.0000000000023,2900.0000000000023,213.0500000057509,13.611828208973114,19324.682223075364,19436.612815428536,19324.682223075364,58.715069546626985,59.97196984751648,
random-s0-0090,voronoi,cycle,50.0,100.0,30.0,1,0,completed,True,0,2900.0000000000014,2900.0000000000014,48.03700000047684,60.37013135647968,19324.682223075364,19125.51645497831,19324.682223075364,58.20629657578173,58.87701828254392,
random-s0-0090,voronoi,cycle,150.0,20.0,30.0,1,0,completed,True,0,3160.0000000000023,3160.0000000000023,340.62030000495724,9.277192228278858,19324.682223075364,21323.111508049653,19324.682223075364,58.69063702159477,59.44592786430657,
random-s0-0090,voronoi,cycle,150.0,100.0,30.0,1,0,completed,True,0,2980.0000000000014,2980.0000000000014,107.9704000003403,27.60015708000164,19324.682223075364,20383.011259490133,19324.682223075364,58.61251955503295,59.48207845217051,
random-s0-0090,voronoi,event,0.0,20.0,30.0,1,0,completed,True,0,2880.0000000000023,2880.0000000000023,112.83369999728166,25.524289286528635,19324.682223075364,19370.244468600744,19324.682223075364,58.17285721879701,58.87701828254381,
random-s0-0090,voronoi,event,0.0,100.0,30.0,1,0,completed,True,0,2780.000000000001,2780.000000000001,37.133999998332,74.86400603557047,19324.682223075364,19297.65641857019,19324.682223075364,58.25816244050928,58.87701828254392,
random-s0-0090,voronoi,event,50.0,20.0,30.0,1,0,completed,True,0,2960.0000000000023,2960.0000000000023,92.85869999439456,31.876388536331905,19324.682223075364,19467.790359590384,19324.682223075364,58.655909256143154,59.63789492971313,
random-s0-0090,voronoi,event,50.0,100.0,30.0,1,0,completed,True,0,2920.0000000000014,2920.0000000000014,42.110199996386655,69.34186967173173,19324.682223075364,19110.60650745841,19324.682223075364,58.25445111710129,58.87701828254392,
random-s0-0090,voronoi,event,150.0,20.0,30.0,1,0,completed,True,0,3000.0000000000023,3000.0000000000023,130.0805000064429,23.06264197824741,19324.682223075364,21450.21162254557,19324.682223075364,58.30568440727447,59.698986245656975,
random-s0-0090,voronoi,event,150.0,100.0,30.0,1,0,completed,True,0,3000.0000000000014,3000.0000000000014,56.44270000630058,53.15124895983214,19324.682223075364,19982.3581342038,19324.682223075364,58.50448136803242,59.2122471756369,
random-s0-0090,prm,once,0.0,20.0,30.0,1,0,completed,True,0,2640.000000000002,2640.000000000002,13.005899993004276,202.98479931569727,19324.682223075364,18972.742476720858,19324.682223075364,58.65662439241832,59.21300113463384,
random-s0-0090,prm,cycle,0.0,20.0,30.0,1,0,completed,True,0,2660.000000000002,2660.000000000002,353.389399999287,7.5271074910718,19324.682223075364,19035.460107934294,19324.682223075364,58.51632982433829,59.37281645420232,
