scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
crowded,visibility,cycle+pred250,kinematic,0,1,1,1,1.0,0,5,0.0,635.0,147.0,324,996.0982420002438,996.0982420002438,996.0982420002438,1.5686586488192815,7.63909200031776,3899.999999999991,3899.999999999991,1019.8287319999508,3.8241715276562527,5743.219306469773,5513.540463345686,58.49967588690166,-62.039438625146204,0.0,6.644576999860874,255.40980564108872,0.7343257028396651
crowded,visibility,event,kinematic,0,1,1,1,1.0,0,5,0.0,654.0,57.0,135,421.05724700604696,421.05724700604696,421.05724700604696,0.6438184204985428,7.546300999820232,3899.999999999991,3899.999999999991,443.9618609999343,8.784538363759513,5743.219306469773,5356.468187189867,58.87909972771442,-58.33154602111412,0.0,6.757122999715648,107.96339666821741,0.7558589604926446
crowded,visibility,event+pred250,kinematic,0,1,1,1,1.0,0,5,0.0,638.0,53.0,177,393.37991400270766,393.37991400270766,393.37991400270766,0.6165829373083193,7.364722999682272,3899.999999999991,3899.999999999991,416.03694600007657,9.374167456751,5743.219306469773,5504.8207552443055,58.51647667981144,-58.33154602111412,0.0,6.6633009996621695,100.86664461607911,0.7354888843608804
crowded~perturbed,voronoi,once,kinematic,0,20,20,18,0.9,2,15,0.45,3.0,0.0,0,14.754043499806357,16.26896800007671,14.940905799949178,4.9180144999354525,6.314479000138817,9376.666666666555,9241.999999999893,23.25656479997633,394.64530373456876,22687.644296904164,21558.823626679456,90.35258335871569,-145.64863865378084,0.2,5.0406904999817925,1.687011369417728,0.19898850221507888
crowded~perturbed,voronoi,cycle,kinematic,0,20,20,16,0.8,2,398,0.8,652.35,319.6,49,1053.5611710010926,9471.429467983398,1503.496072500252,2.11329088808768,10.799308000059682,3392.708333333326,5955.833333333327,1533.8757482999426,4.131000140543205,22687.644296904164,12494.52769954034,128.68864471599647,-3.1876774167123756,0.0,4.971358499915368,304.16180316494496,0.37578545105702943
crowded~perturbed,voronoi,cycle+pred250,kinematic,0,20,20,13,0.65,2,418,0.55,1078.55,730.3,549,1551.7617989976316,10115.25175600309,3502.34123475218,2.429627750606025,14.467092999893794,4105.128205128195,11847.499999999993,3558.4339234500017,3.644517938519472,22687.644296904164,18551.90706532441,303.6741456695087,-159.76060900375077,0.0,5.1515630000267265,328.6735093616578,0.24294082834602437
crowded~perturbed,voronoi,event,kinematic,0,20,20,16,0.8,2,0,1.0,988.8,47.7,15,55.04820499368179,3196.0325589911918,282.5331383505045,0.0658962773331501,8.38390699982483,6891.666666666661,9038.333333333327,322.1456481000814,71.85110037100581,22687.644296904164,16880.79489082373,92.80031556699409,0.05489793907375429,0.0,0.05351400000108697,15.408120006815631,0.2589226246621995
crowded~perturbed,voronoi,event+pred250,kinematic,0,20,20,16,0.8,2,267,0.65,1154.65,99.65,235,172.11259100213283,3392.1708660095646,342.9064202497784,0.17486908733241574,9.404341999925236,7734.375000000013,9780.00000000001,388.1729468999765,38.78813243288337,22687.644296904164,21239.844031486482,92.3295830452436,-141.06971390479396,0.0,0.06423400009225588,28.643997245341854,0.209649200380557
crowded~perturbed,prm,once,kinematic,0,20,20,15,0.75,5,32,0.1,3.0,0.0,0,21.660370999597944,25.94828300016161,20.438714150031956,7.220123666532649,11.719880999862653,4179.999999999997,4152.999999999998,24.395288500045353,173.69146058530117,10679.526705567852,9842.543224512143,147.20978698309983,-168.2500662424487,0.05,7.52115049999702,4.950940584968829,0.42751040735816936
crowded~perturbed,prm,cycle,kinematic,0,20,20,15,0.75,5,1,0.95,389.55,155.15,549,1168.528785000035,2194.4234639963724,1214.9010137508412,3.022556972381515,33.82941999961986,3051.111111111105,2972.499999999994,1235.6163267999818,2.515335212597426,10679.526705567852,7596.912252214793,147.49889730621607,-148.13548380958184,0.0,7.687220999969213,400.6806311906595,0.5589198183300201
crowded~perturbed,prm,cycle+pred250,kinematic,0,20,20,15,0.75,5,1,0.95,473.8,118.7,3051,830.8438764986477,1798.9828450045025,861.568324650716,1.7513016551130711,30.311534000247775,3552.2222222222144,3356.6666666666597,883.9968296500501,4.234825682330281,10679.526705567852,12381.737062210825,147.37530926452413,-162.45113591691918,0.05,7.283190999942235,247.9998348572788,0.40521628412452104
crowded~perturbed,prm,event,kinematic,0,20,20,15,0.75,5,0,1.0,557.65,4.05,52,59.963739000522764,102.85334000400326,63.321411750894185,0.11362262950911922,15.120417999696656,4007.7777777777683,3965.833333333324,83.32828299999164,52.85685439388867,10679.526705567852,9308.999090823276,147.35541847487772,0.06864008647394826,0.0,0.036399500004336005,15.864176723517781,0.45491566313789394
crowded~perturbed,prm,event+pred250,kinematic,0,20,20,15,0.75,5,2,0.95,626.25,4.7,1595,68.15362999964236,152.2502869984237,71.97040124933665,0.09611044652313881,31.04251300010219,4785.555555555544,4531.666666666655,94.92970529995546,53.534854070329104,10679.526705567852,12946.773592360078,147.49321959509436,-31.01621884302844,0.05,0.06277799980125565,15.841779831150935,0.36633094726115967
crowded~perturbed,visibility,once,kinematic,0,20,20,15,0.75,5,112,0.0,3.0,0.0,0,21.089243999995233,23.84928099991157,19.733901200083892,7.029747999998412,8.472986000015226,3716.0000000000023,3687.0000000000023,23.207874400054607,162.00188495973003,4789.4571763679,4410.708524120499,147.24551831161614,-173.9718607930069,0.0,7.610377500213872,5.353853809628554,0.9438082998001558
crowded~perturbed,visibility,cycle,kinematic,0,20,20,15,0.75,5,102,0.0,534.7,237.9,3341,1719.530843996381,2399.4730489848735,1685.710623199202,3.218322449639383,23.40877200003888,3712.222222222214,3674.1666666666583,1709.4040358999562,2.218714830917694,4789.4571763679,4582.745463027183,147.40304596316201,-172.20927277353582,0.0,7.2785269996984425,460.42690891321854,0.9210576470382383
crowded~perturbed,visibility,cycle+pred250,kinematic,0,20,20,15,0.75,5,105,0.0,546.1,161.25,5072,1186.4089700006843,1791.6237519948481,1150.3337713489373,1.986641365827836,22.91207000007489,3724.444444444436,3856.6666666666583,1173.4432081000023,3.5617023387187743,4789.4571763679,4668.768552262469,147.4018963578585,-172.27074031895168,0.0,7.0696829998269095,299.78251732113347,0.8919316280941896
crowded~perturbed,visibility,event,kinematic,0,20,20,15,0.75,5,98,0.0,581.25,50.95,3164,363.9241734958887,685.727554008281,395.15106050077975,0.6436864335910948,18.844281999918167,4035.5555555555466,3962.4999999999914,417.15241305000745,10.556296457484034,4789.4571763679,4681.165485763586,147.50470710051542,-157.0360970453352,0.0,6.875443999888375,99.76647600518885,0.8985054450229256
