scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0001,prm,event,150.0,100.0,0.0,1,0,1,1,0,-176.06394282487656,285.5868915940905,-176.06394282487656,720.0000000000003
random-s0-0001,visibility,once,0.0,20.0,0.0,1,0,2,1,1,-169.03402356557666,-72.7964612977853,-169.03402356557666,800.0000000000003
random-s0-0001,visibility,cycle,0.0,20.0,0.0,1,0,0,0,0,5.014706404727008,285.58689159409045,5.014706404727008,0.0
random-s0-0001,visibility,cycle,0.0,100.0,0.0,1,0,0,0,0,14.821775943425706,285.5868915940905,14.821775943425706,0.0
random-s0-0001,visibility,cycle,50.0,20.0,0.0,1,0,2,2,0,-157.00437238652194,285.58689159409045,-157.00437238652194,659.9999999999915
random-s0-0001,visibility,cycle,50.0,100.0,0.0,1,0,2,2,0,-161.4931944857705,285.5868915940905,-161.4931944857705,699.9999999999999
random-s0-0001,visibility,cycle,150.0,20.0,0.0,1,0,3,3,0,-171.7489873312907,285.58689159409045,-171.7489873312907,899.9999999999934
random-s0-0001,visibility,cycle,150.0,100.0,0.0,1,0,1,1,0,-33.77256959384829,285.5868915940905,-33.77256959384829,80.0
random-s0-0001,visibility,event,0.0,20.0,0.0,1,0,0,0,0,5.014706404727008,232.8443599539927,5.014706404727008,0.0
random-s0-0001,visibility,event,0.0,100.0,0.0,1,0,0,0,0,14.821775943425706,259.2159330805798,14.821775943425706,0.0
random-s0-0001,visibility,event,50.0,20.0,0.0,1,0,2,2,0,-170.54608490874838,285.58689159409045,-170.54608490874838,639.9999999999919
random-s0-0001,visibility,event,50.0,100.0,0.0,1,0,2,2,0,-176.88676865839545,285.5868915940905,-176.88676865839545,860.0
random-s0-0001,visibility,event,150.0,20.0,0.0,1,0,2,2,0,-34.76504009388032,285.58689159409045,-34.76504009388032,99.99999999999916
random-s0-0001,visibility,event,150.0,100.0,0.0,1,0,3,3,0,-174.77032383494554,285.5868915940905,-174.77032383494554,779.9999999999999
random-s0-0002,voronoi,once,0.0,20.0,0.0,1,0,3,3,0,-163.95817904165932,164.350226247045,-163.95817904165932,580.0000000000002
random-s0-0002,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,3.3280347401274923,91.04924720578106,3.3280347401274923,0.0
random-s0-0002,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,125.6306586428932,238.4615659466372,125.6306586428932,0.0
random-s0-0002,voronoi,cycle,50.0,20.0,0.0,1,0,1,1,0,-8.91532544674584,219.2554187961088,-8.91532544674584,0.0
random-s0-0002,voronoi,cycle,50.0,100.0,0.0,1,0,0,0,0,116.80827205083216,152.25279705011138,116.80827205083216,0.0
random-s0-0002,voronoi,cycle,150.0,20.0,0.0,1,0,0,0,0,63.58080002697139,117.21780753864516,63.58080002697139,0.0
random-s0-0002,voronoi,cycle,150.0,100.0,0.0,1,0,1,1,0,-154.60838875231008,234.46086933436163,-154.60838875231008,240.0
random-s0-0002,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,3.3280347401274923,160.92679314251603,3.3280347401274923,0.0
random-s0-0002,voronoi,event,0.0,100.0,0.0,1,0,1,1,0,-152.31157179247128,7.130876775581498,-152.31157179247128,380.00000000000006
random-s0-0002,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,22.284182920842824,196.1504951882947,22.284182920842824,0.0
