scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026~p002,voronoi,1,0,completed,True,False,3,3,0,,14.015931000130877,4.671977000043626,5299.9999999999745,18.639118999999482,284.3482033673438,265,0,2,2,9899.426853857949,9308.056364489137,59.14641546850496,59.51556986113816,-15.784639067853306,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,14.015931000130877,4.908779000061259,5299.9999999999745
22.11.24.08.2026~p002,voronoi,1,0,completed,True,False,3,367,0,,338.07152499889526,0.9211758174356819,2233.3333333333303,350.2214320000121,6.37691794182731,134,0,0,0,9899.426853857949,7650.5404403284665,59.15086605692661,59.966509766873656,1.923418805985932,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,65,2,13.77097900001445,9.11830099994404,2233.3333333333303
22.11.24.08.2026~p002,voronoi,1,0,completed,True,False,3,358,0,,71.52909800004181,0.1998019497207872,2233.3333333333303,82.59558400004607,27.039379409583017,134,0,0,0,9899.426853857949,7609.462868844359,59.31902504845803,59.991983729852834,0.5989246717934691,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,9,1,14.479528999913782,5.2216249999901265,2233.3333333333303
22.11.24.08.2026~p002,prm,1,0,planning_failed,False,False,3,3,1,Y1,12.909899999954177,4.303299999984726,4100.000000000001,16.526142999964577,248.0917658771795,205,0,0,0,7045.612694431363,6594.866935244467,778.1091265172099,2215.469990769453,1.7860866316790123,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,12.909899999954177,6.397636999963652,
22.11.24.08.2026~p002,prm,1,0,planning_failed,False,False,3,215,1,Y1,196.87795499919503,0.9157114186009071,2249.999999999997,205.93264299998282,10.925902602047334,135,0,0,0,7045.612694431363,4718.0919570685555,777.6951135259814,2215.469990769453,1.8750136082326776,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,26,0,12.452240999891728,6.579271999953562,
22.11.24.08.2026~p002,prm,1,0,planning_failed,False,False,3,218,1,Y1,16.007040999170385,0.07342679357417609,2299.999999999997,23.525339999991957,97.76691856529101,138,0,0,0,7045.612694431363,4916.844446615022,777.3428861173905,2215.469990769453,1.8750136082326776,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,0,0,12.291613000002144,6.109655000045677,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,3,1,Y1,22.17552299998715,7.3918409999957175,3040.0000000000023,25.657345000013265,118.48458989028018,152,0,1,1,4774.503016070303,4645.291986658755,777.8306792848831,2215.469990769453,-19.323211823219225,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,22.17552299998715,11.157946000025731,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,297,1,Y1,915.5090189999555,3.0825219494947995,3066.6666666666606,928.3144219999713,3.3034784271257993,184,0,1,1,4774.503016070303,4647.111118358777,777.2107226849254,2215.469990769453,-19.30486611374721,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,82,19,22.385744999951385,16.12297300005139,
22.11.24.08.2026~p002,visibility,1,0,planning_failed,False,False,3,297,1,Y1,152.93956099924344,0.5149480168324695,3066.6666666666606,163.30270600008134,18.779031540758016,184,0,1,1,4774.503016070303,4647.111118358777,777.2107226849254,2215.469990769453,-19.30486611374721,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,12,19,21.62461600005372,11.965739999936886,
22.11.24.08.2026~p003,voronoi,1,0,completed,True,False,3,3,0,,13.804639000227326,4.601546333409108,4719.999999999987,17.978369999923416,262.5377050322189,236,0,0,0,9164.348705836639,8586.05590545225,58.6122114960693,59.737914582443096,19.602763501939933,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.804639000227326,4.693454000062047,4719.999999999987
