scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0002,prm,event,0.0,50.0,30.0,1,0,1,1,0,1,0,-21.023805829625783,166.463255412006,-21.023805829625783,170.0
random-s0-0002,prm,event,0.0,100.0,30.0,1,0,1,1,0,1,0,-19.493698980486958,198.1982203831844,-19.493698980486958,139.99999999999991
random-s0-0002,prm,event,50.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,event,50.0,50.0,30.0,1,0,0,0,0,0,0,74.77045245814668,166.463255412006,74.77045245814668,0.0
random-s0-0002,prm,event,50.0,100.0,30.0,1,0,0,0,0,0,0,74.6496161446299,198.1982203831844,74.6496161446299,0.0
random-s0-0002,prm,event,100.0,20.0,30.0,1,0,0,0,0,0,0,31.38940894133773,145.8554272482245,31.38940894133773,0.0
random-s0-0002,prm,event,100.0,50.0,30.0,1,0,0,0,0,0,0,93.85503182084624,146.80973007039393,93.85503182084624,0.0
random-s0-0002,prm,event,100.0,100.0,30.0,1,0,0,0,0,0,0,154.2257780516146,198.1982203831844,154.2257780516146,0.0
random-s0-0002,visibility,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-133.0127954559156,150.26542756792702,-133.0127954559156,420.0000000000001
random-s0-0002,visibility,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,22.606520691619124,139.76039984174122,22.606520691619124,0.0
random-s0-0002,visibility,cycle,0.0,50.0,30.0,1,0,0,0,0,0,0,26.9844905221822,140.59451313988274,26.9844905221822,0.0
random-s0-0002,visibility,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,26.96713222901297,140.0131593086873,26.96713222901297,0.0
random-s0-0002,visibility,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,21.613218642241407,139.76039984174122,21.613218642241407,0.0
random-s0-0002,visibility,cycle,50.0,50.0,30.0,1,0,0,0,0,0,0,19.811994841951048,140.59451313988274,19.811994841951048,0.0
random-s0-0002,visibility,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,17.378431263720614,140.0131593086873,17.378431263720614,0.0
