scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_robot_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,voronoi,event,0.0,20.0,0.0,1,0,5,0,5,0.0,0.0,False,11,682,693,36.47289931541309,3.12319997465238,3.778400016017258,0.0491999962832778,18.57039998867549,17.902499326737598,5,0,0,0,0,6,481.5319149379538,714.8449929897455,0.3898931845568603,2
random-s0-0000,voronoi,event,0.0,50.0,0.0,1,0,5,0,5,0.0,0.0,False,11,263,274,25.850599951809272,3.652800020063296,3.6152999964542687,0.0443999888375401,19.958200049586598,5.892399902222678,5,0,0,0,0,6,454.3715399546434,634.6579790518108,0.3632238868296792,1
random-s0-0000,voronoi,event,0.0,100.0,0.0,1,0,4,0,4,0.0,0.0,False,10,130,140,19.927999790525064,3.032700013136491,3.889599989634007,0.091699999757111,16.354299994418398,3.5736997961066663,4,0,0,0,0,5,463.47920422869504,670.0227509452296,0.2925043276480545,0
random-s0-0000,voronoi,event,50.0,20.0,0.0,1,0,9,2,11,40.0,0.22988505747126417,True,15,679,694,55.02759944647551,3.11279998277314,4.442899982677773,0.0430000072810798,31.67419994133525,23.35339950514026,6,3,0,0,0,7,284.8260345816872,547.1373565825818,0.378340702428344,0
random-s0-0000,voronoi,event,50.0,50.0,0.0,1,0,9,0,9,0.0,0.0,False,15,268,283,41.40180005924776,3.0509000353049487,6.169200001750141,0.094199989689514,34.25640004570596,7.145400013541803,5,4,0,0,0,5,356.98321745820107,750.0,0.507305103303943,2
random-s0-0000,voronoi,event,50.0,100.0,0.0,1,0,8,0,8,0.0,0.0,False,14,131,145,34.914800111437216,3.865900012897328,3.765799978282303,3.120200010016561,31.031700083985925,3.883100027451292,5,2,0,0,1,5,401.740387177147,750.0,0.654811990362242,4
random-s0-0000,voronoi,event,100.0,20.0,0.0,1,0,32,1,33,20.0,0.08771929824561397,True,38,751,789,87.54510019207373,3.060699993511662,5.689499987056479,0.0642999948468059,61.89100007759407,25.65410011447966,25,7,0,0,0,6,140.33351622238135,750.0,0.7115025502552631,3
random-s0-0000,voronoi,event,100.0,50.0,0.0,1,0,20,0,20,0.0,0.0,False,26,282,308,53.14700014423579,3.4974000009242445,4.102799983229488,0.2962999860756099,44.31820005993359,8.828800084302202,15,5,0,0,0,7,205.2836538703769,699.870905461623,0.8050535667140979,2
random-s0-0000,voronoi,event,100.0,100.0,0.0,1,0,21,0,21,0.0,0.0,False,27,130,157,56.15509982453659,2.849799959221855,4.990800021914765,3.3534999820403755,52.88839992135763,3.26669990317896,17,3,0,0,1,15,340.44012809413897,718.3663166666478,1.352163004761185,3
random-s0-0000,prm,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,26.641600008588284,26.641600008588284,26.57240000553429,26.57240000553429,26.641600008588284,0.0,0,0,0,0,0,0,0.0,0.0,0.0350948094631807,0
random-s0-0000,prm,cycle,0.0,20.0,30.0,1,0,53,5,58,100.0,0.6082725060827247,True,59,615,674,403.8897003629245,6.89690004219301,7.781499996781349,5.721499997889623,325.9245998924598,77.96510047046468,0,0,0,53,0,4,20.145719327557803,407.5411257752987,0.1551216320858299,0
random-s0-0000,prm,cycle,0.0,50.0,30.0,1,0,21,3,24,150.0,0.9124087591240881,True,27,245,272,156.31560003384948,6.304099981207401,7.068300008540973,5.568399996263906,127.58620001841336,28.729400015436116,0,0,0,21,0,4,52.32332872656585,428.70584844078064,0.1630215006345876,0
random-s0-0000,prm,cycle,0.0,100.0,30.0,1,0,11,2,13,200.0,1.2531328320802,True,17,121,138,89.43679992808029,7.173099962528795,10.629500000504777,5.607600003713742,74.4467000477016,14.990099880378692,0,0,0,11,0,3,142.64452891454914,653.3423635397319,0.2175246386982016,0
random-s0-0000,prm,cycle,50.0,20.0,30.0,1,0,104,29,133,580.0,3.2008830022075028,True,110,608,718,818.5957001696806,6.558199995197356,11.268699978245422,6.988600012846291,711.4325998991262,107.16310027055442,0,0,0,104,0,6,36.48724133818536,750.0,0.4877776441404898,2
random-s0-0000,prm,cycle,50.0,50.0,30.0,1,0,28,12,40,600.0,3.4482758620689684,True,34,243,277,329.34920021216385,9.635399968829006,15.772300015669316,9.211500000674278,282.11480006575584,47.23440014640801,0,0,0,28,0,5,51.07586695324193,361.9602729312466,0.1877612235207762,0
random-s0-0000,prm,cycle,50.0,100.0,30.0,1,0,12,5,17,500.0,2.8538812785388115,True,18,123,141,150.32609985792078,10.72530000237748,10.416600009193644,9.398299996973948,125.16710005002096,25.158999807899814,0,0,0,12,0,4,209.5290992417541,750.0,0.3372295325195304,1
random-s0-0000,prm,cycle,100.0,20.0,30.0,1,0,80,70,150,1400.0,7.246376811594198,True,86,612,698,1019.0933999838307,10.730400012107566,15.902299986919388,10.890400008065626,860.5180001177359,158.5753998660948,0,0,0,80,0,5,176.35134284977045,750.0,1.4810045994297385,10
random-s0-0000,prm,cycle,100.0,50.0,30.0,1,0,21,23,44,1150.0,6.519274376417239,True,27,249,276,314.2340997874271,13.713899999856949,13.022400002228096,10.94910001847893,249.4907999644056,64.74329982302152,0,0,0,21,0,4,252.42926023145557,750.0,0.708596793323753,5
random-s0-0000,prm,cycle,100.0,100.0,30.0,1,0,14,11,25,1100.0,6.278538812785386,True,20,125,145,198.028599988902,13.947999977972358,12.74159998865798,10.69729999289848,165.69110003183596,32.33749995706603,0,0,0,14,0,4,355.60426373398803,750.0,0.6172172670698596,3
random-s0-0000,prm,event,0.0,20.0,30.0,1,0,3,5,8,100.0,0.6038647342995165,True,9,666,675,82.91630016174167,12.474600021960214,24.520200007827956,0.0396000104956328,65.53380002151243,17.38250014022924,3,0,0,0,0,4,332.3234982248187,407.5411257752987,0.1545696096615044,0
random-s0-0000,prm,event,0.0,50.0,30.0,1,0,3,2,5,100.0,0.6016847172081833,True,9,264,273,53.46859968267381,11.751700018066911,12.215899972943587,0.0432000088039785,46.00859998026863,7.459999702405184,3,0,0,0,0,4,340.92293598700206,428.70584844078064,0.1620525998238118,0
random-s0-0000,prm,event,0.0,100.0,30.0,1,0,2,1,3,100.0,0.6082725060827248,True,8,129,137,43.49539990653284,15.83819993538782,15.715099987573922,0.0638000201433897,39.65299992705695,3.8423999794758856,2,0,0,0,0,3,342.8090672506085,355.83409714000527,0.1397752746496646,0
random-s0-0000,prm,event,50.0,20.0,30.0,1,0,5,20,25,400.0,2.096436058700208,True,11,695,706,90.10029947967269,11.717000015778469,11.95220000226982,0.0817000109236687,68.67610002518632,21.42419945448637,5,0,0,0,0,5,391.4876961661474,750.0,0.2875695112540638,1
random-s0-0000,prm,event,50.0,50.0,30.0,1,0,4,4,8,200.0,1.141552511415526,True,10,269,279,73.42349991085939,11.934499983908609,14.873300009639934,0.1133000187110155,63.84190000244416,9.581599908415228,4,0,0,0,0,5,244.22113086460064,361.9602729312466,0.1686166901874001,0
