scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,30.732488999944962,0.08907967826071003,2680.000000000002,62.41814200001272,42.9362347889089,134,0,1,1,14791.757420741425,14385.421743915384,58.85000256617806,59.16635580827475,-0.6805364969730192,20.0,kinematic,False,0,0.0,,,,random,event,3,1,12.393521000035435,12.353185000023359,2680.000000000002,0.0,0.0,0.01958100000365448,14555.329011589882,20.0,6,339,25.97918400002186,4.7533049999231025,3,0,0,0,0,4,104.31992255331919,111.29777520251542,0.06597242042859587,0,1735.930925111596,-0.6805364969730192,20.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,24.849714000112044,0.0720281565220639,2680.000000000002,58.49750100000506,45.81392288877041,134,0,0,0,14791.757420741425,14385.964738752542,58.762456638111075,59.16635580827475,21.805329591728878,20.0,kinematic,False,0,0.0,,,,random,event,3,0,5.090710000018817,5.1737189999983,2680.000000000002,0.0,20.0,0.022303999998030122,14555.329011589882,20.0,6,339,19.84553599999117,5.0041780001208735,3,0,0,0,0,4,100.00028703562532,107.34399883448522,0.06367182334524489,0,1735.930925111596,21.805329591728878,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,19.290852000239056,0.055915513044171174,2680.000000000002,52.06208999999262,51.47699602533017,134,0,0,0,14791.757420741425,14386.859784820357,58.737370284031726,59.16635580827475,36.64617543543636,20.0,kinematic,False,0,0.0,,,,random,event,2,1,4.959630000030302,4.927803000015274,2680.000000000002,0.0,40.0,0.021413999974129183,14555.329011589882,20.0,5,340,14.370121000041536,4.92073100019752,2,0,0,0,0,3,94.81405892094216,98.42320864647985,0.04335163978822453,0,1735.930925111596,36.64617543543636,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,17.982313000146632,0.05212264637723662,2680.000000000002,48.18941700000323,55.613870572450004,134,0,0,0,14791.757420741425,14387.765946485819,58.74534734169524,59.16635580827475,52.87792195863875,20.0,kinematic,False,0,0.0,,,,random,event,2,1,4.646368000038592,4.615061000009746,2680.000000000002,0.0,60.0,0.01947799998447408,14555.329011589882,20.0,5,340,13.420753000019658,4.561560000126974,2,0,0,0,0,3,93.10264919877358,97.6156016733176,0.042944056410837504,0,1735.930925111596,52.87792195863875,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,9.628759000520404,0.02790944637832001,2680.000000000002,42.90794899998218,62.45928930327373,134,0,0,0,14791.757420741425,14390.056317259141,58.828370357223086,59.16635580827475,94.39722964367962,20.0,kinematic,False,0,0.0,,,,random,event,0,0,4.739023999974279,4.704853999982106,2680.000000000002,0.0,90.0,0.020935000009103533,14555.329011589882,20.0,3,342,4.739023999974279,4.889735000546125,0,0,0,0,0,1,0.0,0.0,0.008935291264727573,0,1735.930925111596,94.39722964367962,0.0
random-s0-0000,prm,1,0,completed,True,False,3,347,0,,19.26674599988587,0.055523763688431906,2720.000000000002,53.63766499999656,50.71063402928103,136,0,0,0,14791.757420741425,14417.276988163194,58.370753311607324,59.16635580827475,117.20452374538928,20.0,kinematic,False,0,0.0,,,,random,event,2,1,5.20585600000345,5.161302000004753,2720.000000000002,100.0,0.0,0.02353800002197204,14555.329011589882,20.0,5,342,14.026720000003934,5.2400259998819365,2,0,0,0,0,1,254.261103612623,406.59236601068335,0.1750075685611522,0,1735.930925111596,117.20452374538928,0.0
random-s0-0000,prm,1,0,completed,True,False,3,348,0,,21.253684999777533,0.061073807470625095,2740.000000000002,63.96054900000081,42.838906839276305,137,0,0,0,14791.757420741425,14447.592061934298,58.75318739021267,59.16635580827475,128.3917717716447,20.0,kinematic,False,0,0.0,,,,random,event,2,1,4.9902570000028845,5.050794999988284,2740.000000000002,100.0,20.0,0.02556700002287471,14555.329011589882,20.0,5,343,14.939539999971885,6.314144999805649,2,0,0,0,0,2,289.1935870285604,500.23997475648736,0.13391603264378402,0,1735.930925111596,128.3917717716447,0.0
random-s0-0000,prm,1,0,completed,True,False,3,349,0,,28.033226999895078,0.08032443266445581,2760.000000000002,66.63356999999337,41.42056323862396,138,0,0,0,14791.757420741425,14453.292524835644,58.364877348821295,59.16635580827475,156.73121330901466,20.0,kinematic,False,0,0.0,,,,random,event,3,1,6.184694999973317,6.135104999998475,2760.000000000002,100.0,40.0,0.02781100002380299,14555.329011589882,20.0,6,343,22.250442999961706,5.782783999933372,3,0,0,0,0,3,200.91366961084006,455.8636712292535,0.1302562210588571,0,1735.930925111596,156.73121330901466,0.0
random-s0-0000,prm,1,0,completed,True,False,3,352,0,,35.41010900016772,0.1005969005686583,2820.0000000000023,71.76824599997644,39.293143655774,141,0,0,0,14791.757420741425,14520.63423007806,58.65785430776091,59.16635580827475,159.76189399782334,20.0,kinematic,False,0,0.0,,,,random,event,5,0,5.266145999996752,6.170199999985471,2820.0000000000023,100.0,60.0,0.022491000009949857,14555.329011589882,20.0,8,344,30.154295999949454,5.255813000218268,5,0,0,0,0,5,482.78306138431356,608.3113547061527,0.5517085995457484,0,1735.930925111596,159.76189399782334,0.0
random-s0-0000,prm,1,0,completed,True,False,3,357,0,,32.00056699995457,0.08963744257690356,2920.0000000000023,71.04464599999005,41.10091561298526,146,0,0,0,14791.757420741425,14965.980109112445,58.897197370247454,59.214925586593026,197.50517400309485,20.0,kinematic,False,0,0.0,,,,random,event,4,1,5.170225999961531,7.029678999998623,2920.0000000000023,100.0,90.0,0.025364999999055726,14555.329011589882,20.0,7,350,26.282990999959566,5.717575999995006,4,0,0,0,0,4,500.1022268259274,621.7503655628379,0.4434558612064353,0,1735.930925111596,197.50517400309485,0.0
